9E;Endeavor Air Inc.;ATL;Atlanta, GA: Hartsfield-Jackson Atlanta International;43335
AA;American Airlines Inc.;DFW;Dallas/Fort Worth, TX: Dallas/Fort Worth International;165458
AS;Alaska Airlines Inc.;SEA;Seattle, WA: Seattle/Tacoma International;74789
B6;JetBlue Airways;BOS;Boston, MA: Logan International;58369
DL;Delta Air Lines Inc.;ATL;Atlanta, GA: Hartsfield-Jackson Atlanta International;262999
EV;ExpressJet Airlines Inc.;IAH;Houston, TX: George Bush Intercontinental/Houston;37499
F9;Frontier Airlines Inc.;DEN;Denver, CO: Denver International;27220
G4;Allegiant Air;SFB;Sanford, FL: Orlando Sanford International;11718
HA;Hawaiian Airlines Inc.;HNL;Honolulu, HI: Daniel K Inouye International;37333
MQ;Envoy Air;ORD;Chicago, IL: Chicago O'Hare International;74282
NK;Spirit Air Lines;FLL;Fort Lauderdale, FL: Fort Lauderdale-Hollywood International;22328
OH;PSA Airlines Inc.;CLT;Charlotte, NC: Charlotte Douglas International;103055
OO;SkyWest Airlines Inc.;ORD;Chicago, IL: Chicago O'Hare International;68785
UA;United Air Lines Inc.;ORD;Chicago, IL: Chicago O'Hare International;82958
WN;Southwest Airlines Co.;MDW;Chicago, IL: Chicago Midway International;83253
YV;Mesa Airlines Inc.;DFW;Dallas/Fort Worth, TX: Dallas/Fort Worth International;44413
YX;Republic Airline;LGA;New York, NY: LaGuardia;37037
