9E;Endeavor Air Inc.;6,1011
AA;American Airlines Inc.;4,9911
AS;Alaska Airlines Inc.;5,4636
B6;JetBlue Airways;4,271
DL;Delta Air Lines Inc.;7,0657
EV;ExpressJet Airlines Inc.;4,3095
F9;Frontier Airlines Inc.;4,2279
G4;Allegiant Air;4,9074
HA;Hawaiian Airlines Inc.;9,0782
MQ;Envoy Air;5,0877
NK;Spirit Air Lines;5,4952
OH;PSA Airlines Inc.;4,923
OO;SkyWest Airlines Inc.;5,6795
UA;United Air Lines Inc.;4,9643
WN;Southwest Airlines Co.;6,1789
YV;Mesa Airlines Inc.;4,9628
YX;Republic Airline;5,6551
